Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating
54,37,Male,HP Pavilion,2021-08-16,Cancellation Request,Delivery problem,Closed,Low,Chat,2023-06-01 00:39:50,2023-06-01 10:25:50,4.0
55,68,Female,Microsoft Xbox Controller,2021-10-14,Technical Issue,Network problem,Pending Customer Response,Low,Chat,2023-06-01 07:25:51,,
56,50,Female,Nintendo Switch Pro Controller,2021-11-19,Cancellation Request,Software bug,Pending Customer Response,Critical,Chat,2023-06-01 11:14:53,,
57,69,Male,Autodesk AutoCAD,2021-12-22,Technical Issue,Software bug,Pending Customer Response,Medium,Social Media,2023-06-01 10:33:53,,
58,47,Other,GoPro Action Camera,2020-07-28,Refund Request,Peripheral compatibility,Open,Critical,Email,,,
59,27,Male,Autodesk AutoCAD,2020-07-31,Technical Issue,Product recommendation,Closed,Medium,Phone,2023-06-01 11:56:57,2023-06-01 04:45:57,5.0
60,40,Other,Apple AirPods,2021-09-05,Product Inquiry,Cancellation request,Closed,Medium,Chat,2023-06-01 19:50:58,2023-06-01 00:38:58,3.0
61,40,Male,Sony 4K HDR TV,2020-11-16,Cancellation Request,Product setup,Closed,Medium,Chat,2023-06-01 00:18:00,2023-06-01 11:55:00,1.0
62,41,Other,Lenovo ThinkPad,2021-11-21,Product Inquiry,Battery life,Pending Customer Response,Critical,Social Media,2023-06-01 01:32:02,,
63,64,Female,Xbox,2020-12-12,Billing Inquiry,Payment issue,Closed,High,Email,2023-05-31 23:37:04,2023-06-01 12:41:04,4.0
64,57,Female,Adobe Photoshop,2020-04-24,Billing Inquiry,Hardware issue,Pending Customer Response,High,Phone,2023-06-01 07:07:05,,
65,61,Male,Microsoft Xbox Controller,2021-08-02,Technical Issue,Product compatibility,Open,Medium,Phone,,,
66,56,Male,Apple AirPods,2021-11-11,Technical Issue,Battery life,Pending Customer Response,Medium,Phone,2023-05-31 22:38:07,,
67,49,Female,GoPro Hero,2021-08-08,Billing Inquiry,Product compatibility,Closed,High,Email,2023-06-01 05:06:08,2023-06-01 10:17:08,5.0
68,54,Male,Microsoft Office,2021-06-27,Cancellation Request,Peripheral compatibility,Pending Customer Response,Low,Phone,2023-06-01 21:04:10,,
69,51,Other,Adobe Photoshop,2021-02-06,Technical Issue,Product compatibility,Pending Customer Response,Critical,Chat,2023-05-31 23:00:12,,
70,46,Female,Canon DSLR Camera,2020-02-13,Refund Request,Refund request,Closed,High,Chat,2023-06-01 11:57:12,2023-05-31 22:51:12,1.0
71,27,Male,Google Pixel,2021-05-15,Cancellation Request,Product setup,Pending Customer Response,Medium,Chat,2023-05-31 23:49:14,,
72,37,Other,iPhone,2020-09-26,Refund Request,Delivery problem,Open,Medium,Social Media,,,
73,34,Female,Dyson Vacuum Cleaner,2021-02-16,Billing Inquiry,Display issue,Closed,Low,Chat,2023-06-01 04:35:16,2023-06-01 03:17:16,4.0
74,36,Other,Fitbit Charge,2020-11-09,Cancellation Request,Payment issue,Closed,Critical,Social Media,2023-06-01 21:31:17,2023-06-01 02:24:17,3.0
75,31,Female,Xbox,2021-04-16,Billing Inquiry,Product setup,Open,Critical,Email,,,
76,37,Other,Roomba Robot Vacuum,2021-01-06,Product Inquiry,Display issue,Closed,Critical,Chat,2023-06-01 14:43:20,2023-06-01 02:30:20,1.0
77,18,Other,iPhone,2020-06-30,Cancellation Request,Account access,Open,Critical,Phone,,,
78,63,Female,Fitbit Charge,2020-12-29,Billing Inquiry,Delivery problem,Closed,Low,Email,2023-06-01 19:16:24,2023-06-01 15:21:24,5.0
79,55,Other,Google Pixel,2021-01-07,Billing Inquiry,Data loss,Pending Customer Response,Medium,Social Media,2023-06-01 16:57:26,,
80,40,Other,LG Smart TV,2020-11-03,Technical Issue,Software bug,Pending Customer Response,Critical,Chat,2023-06-01 11:27:28,,
81,50,Other,Microsoft Office,2021-03-22,Technical Issue,Product recommendation,Pending Customer Response,Critical,Phone,2023-06-01 07:27:28,,
82,29,Other,Apple AirPods,2021-07-22,Cancellation Request,Cancellation request,Pending Customer Response,Medium,Email,2023-06-01 11:37:29,,
83,24,Male,PlayStation,2021-10-04,Refund Request,Software bug,Closed,Low,Social Media,2023-06-01 05:40:30,2023-06-01 20:35:30,1.0
84,57,Other,Autodesk AutoCAD,2021-08-11,Technical Issue,Installation support,Pending Customer Response,Critical,Phone,2023-06-01 00:24:32,,
85,67,Other,Microsoft Surface,2021-08-02,Technical Issue,Hardware issue,Open,Medium,Phone,,,
86,67,Female,Canon EOS,2021-01-22,Product Inquiry,Peripheral compatibility,Open,High,Social Media,,,
87,46,Male,Sony PlayStation,2020-01-18,Technical Issue,Product recommendation,Closed,Critical,Phone,2023-06-01 18:03:35,2023-06-01 06:23:35,2.0
88,55,Other,Philips Hue Lights,2020-09-10,Technical Issue,Delivery problem,Pending Customer Response,High,Social Media,2023-06-01 19:21:36,,
89,42,Other,Nikon D,2021-08-01,Billing Inquiry,Product setup,Open,Critical,Email,,,
90,40,Male,Sony Xperia,2020-01-30,Product Inquiry,Product recommendation,Closed,Medium,Email,2023-05-31 23:17:40,2023-06-01 03:09:40,5.0
91,57,Other,Sony Xperia,2020-10-15,Refund Request,Software bug,Pending Customer Response,High,Phone,2023-06-01 07:15:41,,
92,62,Male,iPhone,2021-11-14,Product Inquiry,Display issue,Pending Customer Response,Low,Email,2023-06-01 00:14:43,,
93,44,Male,Bose QuietComfort,2021-05-27,Technical Issue,Peripheral compatibility,Pending Customer Response,Low,Email,2023-06-01 15:57:45,,
94,32,Female,PlayStation,2021-05-24,Refund Request,Installation support,Open,Low,Email,,,
95,65,Other,Microsoft Xbox Controller,2021-12-06,Product Inquiry,Account access,Open,Critical,Phone,,,
96,60,Male,Autodesk AutoCAD,2021-10-02,Product Inquiry,Battery life,Closed,High,Chat,2023-06-01 00:08:49,2023-06-01 18:39:49,5.0
97,18,Female,Roomba Robot Vacuum,2020-10-25,Cancellation Request,Battery life,Open,High,Social Media,,,
98,22,Other,Xbox,2020-01-18,Product Inquiry,Delivery problem,Pending Customer Response,High,Email,2023-06-01 01:55:51,,
99,38,Male,Samsung Galaxy,2020-09-09,Billing Inquiry,Refund request,Closed,High,Chat,2023-06-01 07:05:53,2023-06-01 14:45:53,5.0
100,23,Other,Samsung Soundbar,2020-05-15,Technical Issue,Hardware issue,Pending Customer Response,Low,Chat,2023-06-01 15:32:53,,
101,39,Female,Dyson Vacuum Cleaner,2020-05-31,Cancellation Request,Delivery problem,Pending Customer Response,High,Email,2023-06-01 21:36:55,,
102,18,Other,iPhone,2021-08-01,Billing Inquiry,Software bug,Pending Customer Response,Critical,Phone,2023-06-01 21:00:57,,
103,40,Female,Asus ROG,2021-01-26,Refund Request,Battery life,Closed,Critical,Email,2023-06-01 03:07:58,2023-06-01 15:23:58,3.0
104,49,Male,Dyson Vacuum Cleaner,2020-02-24,Refund Request,Battery life,Open,High,Chat,,,
105,58,Male,Fitbit Charge,2021-06-27,Refund Request,Product recommendation,Open,High,Phone,,,
106,56,Other,Dyson Vacuum Cleaner,2021-07-17,Product Inquiry,Battery life,Pending Customer Response,Critical,Chat,2023-06-01 02:08:01,,
107,42,Female,Nintendo Switch,2021-05-20,Cancellation Request,Installation support,Closed,Low,Email,2023-06-01 11:38:01,2023-06-01 20:46:01,2.0
108,50,Other,LG Smart TV,2021-06-09,Technical Issue,Account access,Pending Customer Response,High,Email,2023-06-01 15:49:01,,
109,33,Male,Dyson Vacuum Cleaner,2020-01-08,Technical Issue,Product setup,Closed,Critical,Chat,2023-06-01 02:55:03,2023-06-01 08:15:03,4.0
110,59,Female,Bose SoundLink Speaker,2020-03-10,Product Inquiry,Account access,Open,High,Email,,,
111,60,Female,Amazon Echo,2021-07-28,Cancellation Request,Peripheral compatibility,Closed,High,Email,2023-06-01 03:14:05,2023-06-01 12:43:05,2.0
112,68,Male,Nintendo Switch Pro Controller,2021-11-29,Refund Request,Display issue,Open,High,Phone,,,
113,68,Female,Samsung Galaxy,2020-03-24,Product Inquiry,Display issue,Open,Medium,Social Media,,,
114,27,Other,Microsoft Office,2021-11-12,Cancellation Request,Payment issue,Closed,High,Email,2023-06-01 03:24:09,2023-05-31 22:24:09,1.0
115,28,Female,Sony 4K HDR TV,2020-09-20,Cancellation Request,Battery life,Closed,High,Email,2023-06-01 10:27:10,2023-06-01 06:04:10,1.0
116,29,Male,iPhone,2021-01-16,Technical Issue,Delivery problem,Open,Critical,Email,,,
117,20,Female,iPhone,2021-11-27,Cancellation Request,Software bug,Closed,High,Email,2023-06-01 19:02:13,2023-06-01 18:17:13,5.0
118,18,Male,Google Nest,2020-02-16,Billing Inquiry,Product setup,Closed,Medium,Phone,2023-06-01 00:40:14,2023-06-01 04:42:14,5.0
119,39,Female,HP Pavilion,2020-08-17,Refund Request,Data loss,Open,High,Email,,,
120,41,Female,Fitbit Charge,2021-07-31,Billing Inquiry,Software bug,Closed,Low,Phone,2023-06-01 04:22:17,2023-06-01 14:49:17,2.0
121,56,Male,Amazon Kindle,2021-03-11,Billing Inquiry,Refund request,Pending Customer Response,Medium,Chat,2023-06-01 18:02:19,,
122,37,Other,Bose SoundLink Speaker,2021-03-03,Product Inquiry,Peripheral compatibility,Open,Critical,Chat,,,
123,29,Other,Dell XPS,2020-10-03,Refund Request,Installation support,Open,Low,Social Media,,,
124,36,Other,Samsung Galaxy,2021-12-27,Product Inquiry,Battery life,Pending Customer Response,Low,Email,2023-06-01 13:08:24,,
125,63,Male,Dyson Vacuum Cleaner,2021-03-23,Technical Issue,Product setup,Pending Customer Response,High,Phone,2023-06-01 02:14:26,,
126,45,Male,Philips Hue Lights,2020-06-27,Refund Request,Display issue,Open,Medium,Chat,,,
127,68,Female,Lenovo ThinkPad,2020-06-22,Billing Inquiry,Cancellation request,Open,Low,Social Media,,,
128,57,Male,Xbox,2020-09-28,Refund Request,Cancellation request,Pending Customer Response,Low,Email,2023-06-01 03:09:31,,
129,49,Male,Adobe Photoshop,2021-04-15,Cancellation Request,Hardware issue,Closed,Medium,Email,2023-05-31 22:12:33,2023-06-01 00:29:33,3.0
130,55,Other,Amazon Echo,2021-05-05,Cancellation Request,Cancellation request,Pending Customer Response,Low,Email,2023-06-01 07:38:35,,
131,43,Male,Asus ROG,2020-02-13,Billing Inquiry,Product recommendation,Closed,Medium,Email,2023-06-01 21:31:36,2023-06-01 15:03:36,2.0
132,49,Male,LG Smart TV,2021-11-24,Product Inquiry,Battery life,Pending Customer Response,Critical,Social Media,2023-06-01 20:57:38,,
133,65,Female,PlayStation,2021-05-01,Cancellation Request,Data loss,Open,Medium,Phone,,,
134,50,Male,Nintendo Switch,2021-06-17,Refund Request,Refund request,Closed,Critical,Phone,2023-06-01 17:14:41,2023-05-31 22:53:41,5.0
135,66,Male,PlayStation,2020-05-01,Cancellation Request,Product setup,Closed,Critical,Email,2023-06-01 07:40:42,2023-06-01 01:07:42,2.0
136,35,Female,Samsung Galaxy,2021-10-30,Product Inquiry,Software bug,Pending Customer Response,Low,Chat,2023-06-01 02:05:43,,
137,46,Other,Bose SoundLink Speaker,2020-10-01,Cancellation Request,Software bug,Open,Critical,Email,,,
138,21,Other,Amazon Echo,2021-12-20,Technical Issue,Network problem,Closed,Low,Chat,2023-06-01 09:56:46,2023-06-01 09:08:46,4.0
139,58,Male,Adobe Photoshop,2021-02-12,Product Inquiry,Product compatibility,Closed,Critical,Chat,2023-05-31 23:52:47,2023-06-01 06:58:47,2.0
140,31,Other,LG OLED,2021-03-12,Cancellation Request,Battery life,Pending Customer Response,Low,Phone,2023-06-01 19:46:49,,
141,47,Male,LG Washing Machine,2021-05-09,Cancellation Request,Product setup,Closed,Critical,Email,2023-06-01 09:35:50,2023-06-01 05:30:50,1.0
142,31,Other,Sony PlayStation,2020-04-13,Technical Issue,Software bug,Closed,High,Chat,2023-06-01 21:18:52,2023-06-01 05:10:52,2.0
143,38,Female,Roomba Robot Vacuum,2021-04-26,Billing Inquiry,Product compatibility,Pending Customer Response,High,Chat,2023-06-01 14:31:54,,
144,38,Female,Canon DSLR Camera,2021-05-05,Cancellation Request,Account access,Open,Critical,Email,,,
145,25,Female,Canon EOS,2021-04-02,Refund Request,Data loss,Open,Low,Social Media,,,
146,46,Male,Philips Hue Lights,2020-10-12,Cancellation Request,Refund request,Pending Customer Response,Medium,Email,2023-06-01 15:24:59,,
147,39,Male,Lenovo ThinkPad,2021-07-11,Cancellation Request,Battery life,Open,Low,Email,,,
148,22,Female,Apple AirPods,2020-10-06,Billing Inquiry,Product compatibility,Closed,Low,Social Media,2023-06-01 13:45:03,2023-05-31 23:28:03,3.0
149,40,Other,LG Washing Machine,2021-10-24,Refund Request,Installation support,Closed,High,Chat,2023-06-01 08:45:05,2023-06-01 13:55:05,1.0
150,64,Female,Philips Hue Lights,2021-03-18,Technical Issue,Peripheral compatibility,Closed,Critical,Email,2023-06-01 16:34:07,2023-06-01 20:02:07,3.0
151,29,Female,Google Pixel,2020-10-14,Refund Request,Product recommendation,Closed,Critical,Email,2023-06-01 15:33:09,2023-06-01 06:51:09,4.0
152,45,Other,Xbox,2021-12-24,Refund Request,Display issue,Pending Customer Response,Medium,Phone,2023-06-01 12:33:10,,
153,46,Other,GoPro Hero,2021-10-19,Product Inquiry,Account access,Pending Customer Response,Low,Social Media,2023-06-01 15:58:11,,
154,58,Male,GoPro Action Camera,2020-03-12,Technical Issue,Cancellation request,Pending Customer Response,Medium,Social Media,2023-06-01 02:50:13,,
155,55,Female,Roomba Robot Vacuum,2021-06-09,Technical Issue,Product recommendation,Open,Medium,Social Media,,,
156,52,Male,HP Pavilion,2020-01-29,Cancellation Request,Delivery problem,Open,Low,Chat,,,
157,20,Male,Asus ROG,2020-12-11,Product Inquiry,Delivery problem,Open,Low,Social Media,,,
158,69,Male,Nintendo Switch,2020-01-29,Technical Issue,Refund request,Open,Medium,Phone,,,
159,35,Male,Dyson Vacuum Cleaner,2021-11-30,Product Inquiry,Hardware issue,Pending Customer Response,Low,Social Media,2023-06-01 02:19:21,,
160,55,Other,Sony Xperia,2021-02-03,Billing Inquiry,Cancellation request,Pending Customer Response,High,Email,2023-06-01 19:33:22,,
161,19,Female,Lenovo ThinkPad,2020-07-19,Refund Request,Account access,Pending Customer Response,High,Email,2023-06-01 10:20:23,,
162,29,Female,HP Pavilion,2020-01-06,Refund Request,Product setup,Closed,High,Phone,2023-06-01 03:19:25,2023-06-01 15:58:25,3.0
163,30,Male,Bose SoundLink Speaker,2021-10-23,Refund Request,Payment issue,Closed,Critical,Phone,2023-06-01 21:38:27,2023-06-01 10:37:27,1.0
164,34,Male,Microsoft Office,2020-11-11,Cancellation Request,Product recommendation,Closed,Medium,Phone,2023-06-01 19:15:27,2023-06-01 09:02:27,3.0
165,24,Male,HP Pavilion,2021-05-21,Billing Inquiry,Product setup,Closed,Low,Social Media,2023-06-01 19:39:29,2023-06-01 21:26:29,5.0
166,33,Male,Bose QuietComfort,2020-07-25,Product Inquiry,Network problem,Pending Customer Response,Low,Email,2023-06-01 07:21:30,,
167,32,Female,Xbox,2020-04-03,Refund Request,Battery life,Closed,Medium,Email,2023-06-01 04:35:32,2023-06-01 07:29:32,3.0
168,41,Male,Garmin Forerunner,2020-01-31,Technical Issue,Delivery problem,Closed,Medium,Chat,2023-06-01 12:41:33,2023-06-01 06:19:33,3.0
169,51,Other,Lenovo ThinkPad,2021-09-03,Billing Inquiry,Delivery problem,Open,High,Social Media,,,
170,30,Male,Sony Xperia,2020-08-04,Product Inquiry,Network problem,Closed,Medium,Phone,2023-06-01 14:14:36,2023-06-01 11:08:36,1.0
171,44,Female,Microsoft Office,2021-12-24,Billing Inquiry,Product setup,Closed,Low,Social Media,2023-06-01 15:42:38,2023-06-01 18:36:38,4.0
172,33,Female,Sony PlayStation,2020-12-11,Refund Request,Refund request,Open,Low,Chat,,,
173,36,Other,Nest Thermostat,2020-01-27,Cancellation Request,Product compatibility,Pending Customer Response,Medium,Social Media,2023-06-01 10:53:42,,
174,50,Other,Lenovo ThinkPad,2021-10-01,Refund Request,Product recommendation,Pending Customer Response,Medium,Email,2023-05-31 23:10:43,,
175,37,Male,LG Smart TV,2021-10-05,Technical Issue,Data loss,Pending Customer Response,Critical,Chat,2023-06-01 19:22:43,,
176,42,Other,PlayStation,2021-10-18,Technical Issue,Delivery problem,Closed,Medium,Email,2023-06-01 13:14:45,2023-06-01 07:23:45,4.0
177,49,Female,Sony 4K HDR TV,2021-11-16,Technical Issue,Refund request,Pending Customer Response,Medium,Email,2023-06-01 02:45:47,,
178,27,Other,Dyson Vacuum Cleaner,2020-09-21,Cancellation Request,Product recommendation,Pending Customer Response,High,Phone,2023-06-01 11:03:49,,
179,25,Other,Adobe Photoshop,2020-04-19,Billing Inquiry,Peripheral compatibility,Open,Medium,Chat,,,
180,58,Female,Google Pixel,2021-06-03,Billing Inquiry,Data loss,Pending Customer Response,Critical,Phone,2023-06-01 18:36:52,,
181,60,Other,MacBook Pro,2021-11-17,Refund Request,Product compatibility,Pending Customer Response,Medium,Email,2023-06-01 03:33:53,,
182,34,Other,Amazon Kindle,2020-11-26,Cancellation Request,Account access,Pending Customer Response,Critical,Social Media,2023-06-01 20:47:54,,
183,33,Female,Samsung Soundbar,2021-04-18,Product Inquiry,Delivery problem,Closed,High,Chat,2023-06-01 01:29:56,2023-06-01 06:34:56,4.0
184,32,Female,Google Pixel,2020-03-16,Billing Inquiry,Network problem,Closed,Medium,Phone,2023-05-31 23:38:57,2023-06-01 03:51:57,4.0
185,29,Female,Roomba Robot Vacuum,2021-10-17,Refund Request,Product setup,Pending Customer Response,High,Chat,2023-06-01 13:47:59,,
186,50,Other,Sony 4K HDR TV,2021-03-19,Technical Issue,Software bug,Open,Low,Phone,,,
187,33,Female,iPhone,2021-04-23,Product Inquiry,Refund request,Pending Customer Response,Medium,Phone,2023-06-01 07:30:00,,
188,46,Male,Lenovo ThinkPad,2021-01-19,Cancellation Request,Network problem,Pending Customer Response,Low,Phone,2023-06-01 17:14:02,,
189,37,Other,Roomba Robot Vacuum,2021-01-10,Refund Request,Product compatibility,Closed,High,Phone,2023-06-01 15:58:03,2023-06-01 07:32:03,1.0
190,46,Other,LG Smart TV,2020-04-25,Technical Issue,Display issue,Open,Critical,Social Media,,,
191,70,Other,iPhone,2021-02-09,Refund Request,Product setup,Pending Customer Response,Critical,Phone,2023-06-01 03:09:06,,
192,57,Female,Fitbit Charge,2020-10-14,Product Inquiry,Delivery problem,Pending Customer Response,Low,Email,2023-05-31 23:17:07,,
193,58,Other,GoPro Hero,2021-10-28,Product Inquiry,Account access,Closed,Medium,Phone,2023-06-01 21:31:09,2023-05-31 22:49:09,1.0
194,18,Male,GoPro Hero,2021-09-03,Cancellation Request,Refund request,Pending Customer Response,Critical,Chat,2023-06-01 05:08:10,,
195,57,Male,Samsung Soundbar,2021-06-15,Billing Inquiry,Payment issue,Closed,Medium,Social Media,2023-06-01 04:08:11,2023-06-01 11:49:11,2.0
196,29,Other,Nest Thermostat,2020-06-11,Refund Request,Product compatibility,Open,High,Social Media,,,
197,66,Female,HP Pavilion,2021-08-08,Refund Request,Display issue,Pending Customer Response,Low,Social Media,2023-06-01 18:04:14,,
198,30,Male,MacBook Pro,2021-01-28,Refund Request,Delivery problem,Closed,High,Chat,2023-06-01 02:54:15,2023-05-31 22:36:15,3.0
199,60,Female,Amazon Echo,2021-07-23,Cancellation Request,Product setup,Closed,Critical,Chat,2023-06-01 01:07:17,2023-06-01 19:24:17,5.0
200,66,Other,Canon EOS,2020-09-19,Product Inquiry,Software bug,Closed,Medium,Chat,2023-06-01 12:39:19,2023-06-01 20:34:19,5.0
201,51,Other,Asus ROG,2021-01-13,Product Inquiry,Cancellation request,Open,Critical,Email,,,
202,55,Other,Garmin Forerunner,2021-12-16,Refund Request,Delivery problem,Open,Medium,Social Media,,,
203,26,Female,Lenovo ThinkPad,2021-04-01,Billing Inquiry,Product setup,Open,Medium,Chat,,,
204,46,Male,LG OLED,2020-05-19,Product Inquiry,Battery life,Pending Customer Response,Low,Phone,2023-05-31 23:25:26,,
205,43,Female,Google Nest,2020-06-11,Cancellation Request,Software bug,Closed,High,Phone,2023-06-01 17:47:28,2023-06-01 17:50:28,3.0
206,55,Male,Sony Xperia,2020-11-24,Refund Request,Delivery problem,Closed,Medium,Phone,2023-06-01 13:56:29,2023-06-01 11:18:29,1.0
